,sentence,label
0,I began making fish curry for my boyfriend and I.,3
1,I began making fish curry for my boyfriend and I.,2
2,I began making fish curry for my boyfriend and I.,2
3,I decided not to read a recipe since I've made so many in my life.,3
4,I decided not to read a recipe since I've made so many in my life.,2
5,I let the curry sit before tasting.,0
6,I let the curry sit before tasting.,2
7,I let the curry sit before tasting.,3
8,"When it was time to taste, I was disgusted.",0
9,"When it was time to taste, I was disgusted.",0
10,I accidentally used a whole garlic instead of a whole onion.,0
11,I accidentally used a whole garlic instead of a whole onion.,0
12,Jervis has been single for a long time.,0
13,Jervis has been single for a long time.,0
14,Jervis has been single for a long time.,0
15,He wants to have a girlfriend.,3
16,He wants to have a girlfriend.,0
17,He wants to have a girlfriend.,0
18,One day he meets a nice girl at the grocery store.,3
19,One day he meets a nice girl at the grocery store.,3
20,One day he meets a nice girl at the grocery store.,3
21,One day he meets a nice girl at the grocery store.,2
22,One day he meets a nice girl at the grocery store.,0
23,One day he meets a nice girl at the grocery store.,2
24,They begin to date.,3
25,They begin to date.,3
26,They begin to date.,3
27,They begin to date.,3
28,They begin to date.,3
29,They begin to date.,3
30,Jervis is happy that he is no longer single.,2
31,Jervis is happy that he is no longer single.,3
32,Jervis is happy that he is no longer single.,3
33,Ray couldn't get an irritating tune out of his head.,0
34,Ray couldn't get an irritating tune out of his head.,0
35,Ray couldn't get an irritating tune out of his head.,0
36,"He tried to distract himself, but the melody kept repeating itself.",0
37,"He tried to distract himself, but the melody kept repeating itself.",0
38,"He tried to distract himself, but the melody kept repeating itself.",0
39,"That night, he turned the radio on and got into bed to go to sleep.",0
40,"That night, he turned the radio on and got into bed to go to sleep.",2
41,The radio played song after song all night long as Ray slumbered.,2
42,The radio played song after song all night long as Ray slumbered.,3
43,The radio played song after song all night long as Ray slumbered.,0
44,"In the morning, Ray was relieved to have forgotten the annoying tune.",3
45,"In the morning, Ray was relieved to have forgotten the annoying tune.",3
46,"In the morning, Ray was relieved to have forgotten the annoying tune.",2
47,Ferdinand had a talent no one could deny.,2
48,Ferdinand had a talent no one could deny.,3
49,Ferdinand had a talent no one could deny.,3
50,He was the best barista in the whole town.,3
51,He was the best barista in the whole town.,2
52,People would line up and wait hours for his creations.,2
53,People would line up and wait hours for his creations.,2
54,People would line up and wait hours for his creations.,3
55,People would line up and wait hours for his creations.,3
56,People would line up and wait hours for his creations.,3
57,People would line up and wait hours for his creations.,3
58,Everyone wanted the Ferdinand touch.,3
59,Everyone wanted the Ferdinand touch.,3
60,Everyone wanted the Ferdinand touch.,0
61,Everyone wanted the Ferdinand touch.,2
62,Everyone wanted the Ferdinand touch.,3
63,"He was proud, but hard working always pushing himself.",3
64,"He was proud, but hard working always pushing himself.",2
65,"He was proud, but hard working always pushing himself.",2
66,Danielle was really short on money.,0
67,Danielle was really short on money.,0
68,Danielle was really short on money.,3
69,She was trying to come up with extra money.,0
70,She was trying to come up with extra money.,0
71,She was trying to come up with extra money.,0
72,Someone suggested a garage sale.,3
73,Someone suggested a garage sale.,2
74,Someone suggested a garage sale.,2
75,She decided that was a great idea.,2
76,She decided that was a great idea.,2
77,She made lots of money!,2
78,She made lots of money!,3
79,She made lots of money!,3
80,Manuel was having a difficult time paying his rent.,0
81,Manuel was having a difficult time paying his rent.,0
82,Manuel was having a difficult time paying his rent.,0
83,He knew that he would be evicted if he didn't figure something out.,0
84,He knew that he would be evicted if he didn't figure something out.,0
85,He knew that he would be evicted if he didn't figure something out.,0
86,He then remembered that his friend was looking for a house.,2
87,He then remembered that his friend was looking for a house.,2
88,He then remembered that his friend was looking for a house.,2
89,Manuel asked him to move in and be his roommate.,0
90,Manuel asked him to move in and be his roommate.,2
91,Manuel asked him to move in and be his roommate.,3
92,Manuel asked him to move in and be his roommate.,2
93,Manuel asked him to move in and be his roommate.,3
94,His friend agreed and Manuel kept his house.,3
