,emotion,plutchik,selection0,selection1,label
0,['none'],"{'joy': 0, 'trust': 0, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 0}",Neil was writing an article about Chinese factories.,I called the vet to schedule an appointment.,0
1,"['safety', 'sad', 'disappointed']","{'joy': 1, 'trust': 1, 'fear': 0, 'surprise': 1, 'sadness': 2, 'disgust': 1, 'anger': 1, 'anticipation': 1}",She did research and found a great tattoo artist.,Daniel's dad told him it would be a good idea not to take the boat out.,1
2,"['ordered', 'frugal', 'happy', 'controlling', 'none']","{'joy': 2, 'trust': 0, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 1}",I went to a home improvement store and bought a shed kit.,Christian ended up saving 50 dollars a month thanks to Smart Ride.,1
3,"['none', 'content', 'relaxed']","{'joy': 0, 'trust': 0, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 0}",He was on a boat fishing for deep sea fish.,He said cruel things to me.,0
4,"['stressed', 'anxious', 'sad', 'nervous', 'fearful', 'positive']","{'joy': 1, 'trust': 0, 'fear': 1, 'surprise': 0, 'sadness': 1, 'disgust': 0, 'anger': 0, 'anticipation': 2}",Gordo begins drinking due to stress.,The man filled it to the top.,0
5,"['frustrated', 'disappointed', 'sad']","{'joy': 0, 'trust': 0, 'fear': 0, 'surprise': 0, 'sadness': 2, 'disgust': 1, 'anger': 2, 'anticipation': 0}",He was 24 and still couldn't tie his shoe due to his hands twitching.,"They gave him some Benadryl, and told him not to eat peanut butter.",0
6,"['ashamed', 'embarrassed', 'embarassed', 'angry']","{'joy': 0, 'trust': 0, 'fear': 1, 'surprise': 1, 'sadness': 2, 'disgust': 1, 'anger': 0, 'anticipation': 0}",He doubled his vegetable production and started bagging.,He was very embarrassed.,1
7,"['none', 'impressed', 'Happy', 'Excited', 'Delighted', 'accomplished', 'elated', 'important', 'interested']","{'joy': 2, 'trust': 0, 'fear': 0, 'surprise': 1, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 1}",My girlfriend said they were beautiful.,Rick got to watch the track and field events from a suite.,1
8,"['focused', 'desire', 'anticipate']","{'joy': 0, 'trust': 1, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 3}","After searching for many hours, he finally found a cave.",But he only wanted to eat pasta.,1
9,"['none', 'disappointed', 'confused', 'unhappy', 'frustrated']","{'joy': 0, 'trust': 0, 'fear': 0, 'surprise': 1, 'sadness': 1, 'disgust': 1, 'anger': 1, 'anticipation': 0}",When she came back the pizza was gone.,Her brother ended up eating them.,1
10,"['relief', 'disgusted', 'shocked', 'relieved']","{'joy': 0, 'trust': 0, 'fear': 0, 'surprise': 2, 'sadness': 0, 'disgust': 2, 'anger': 1, 'anticipation': 0}",Inside was a huge clump of hair.,Sarah did not want to be left out of the big snorkeling day.,0
11,"['Disapointed', 'stupid']","{'joy': 0, 'trust': 0, 'fear': 1, 'surprise': 3, 'sadness': 1, 'disgust': 2, 'anger': 2, 'anticipation': 0}",Investigating she saw a big water spot from the bottle spilling.,My dad really enjoys going fishing.,0
12,"['frustrated', 'upset', 'sad']","{'joy': 0, 'trust': 0, 'fear': 0, 'surprise': 0, 'sadness': 2, 'disgust': 1, 'anger': 1, 'anticipation': 0}",Anna hated that summer was over.,"He was just putting along, until he saw the car in front of him brake.",0
13,"['frustrated', 'scared', 'frustration', 'none']","{'joy': 0, 'trust': 0, 'fear': 1, 'surprise': 1, 'sadness': 1, 'disgust': 0, 'anger': 0, 'anticipation': 1}",Amy and Kim were at Lynn's house.,He was diagnosed with laryngitis.,1
14,"['pleased', 'impatient', 'frustrated', 'none']","{'joy': 1, 'trust': 0, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 1, 'anticipation': 1}",He was enjoying himself except his computer was so slow.,They got to the front of the pit.,0
15,"['annoyed', 'worried', 'sad', 'upset']","{'joy': 0, 'trust': 0, 'fear': 0, 'surprise': 0, 'sadness': 1, 'disgust': 0, 'anger': 1, 'anticipation': 0}",They were sold out of blue but had green.,"The whole day, he had to pick up his pants as they sagged.",1
16,"['none', 'anxious', 'enlightened', 'scared']","{'joy': 0, 'trust': 0, 'fear': 1, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 0}",Meth will mess you up.,My husband tried to cut his beard off.,0
17,"['interested', 'sentimental', 'desire', 'none']","{'joy': 1, 'trust': 0, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 1}",I had always wanted to play an instrument.,He decided to advertise his business in the local paper.,0
18,['none'],"{'joy': 0, 'trust': 0, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 0}",He used a broomstick and a small pink ball.,She wanted to go to prom with him very badly!,0
19,"['tired', 'calm']","{'joy': 1, 'trust': 0, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 1}",Ben's wristwatch had stopped working.,He watched as a weary owl flew low against the brightening sky.,1
20,"['capable', 'determined']","{'joy': 2, 'trust': 2, 'fear': 0, 'surprise': 1, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 1}",She fixed the hole.,One day she decided to apply for a new position.,0
21,"['none', 'happy', 'energetic']","{'joy': 1, 'trust': 0, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 0}",The radio station hired him that week.,Fargo was a kid.,1
22,"['confident', 'proud', 'content', 'hesitant']","{'joy': 2, 'trust': 2, 'fear': 1, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 1}",I rode it for a while and asked grandpa to take them off.,She was a bit scared at first.,0
23,"['sad.', 'unhappy.', 'very hurting', 'painfull legs', 'clumsy']","{'joy': 0, 'trust': 0, 'fear': 1, 'surprise': 0, 'sadness': 2, 'disgust': 0, 'anger': 0, 'anticipation': 0}",Bob planned to ask Martha out for prom.,He slipped on the sidewalk.,1
24,"['disturbed', 'frustrated']","{'joy': 0, 'trust': 1, 'fear': 1, 'surprise': 2, 'sadness': 2, 'disgust': 1, 'anger': 2, 'anticipation': 2}",She read up on healthy ways to do it.,He couldn't hear it ringing anywhere.,1
25,"['upset', 'Scare', 'Sad', 'Worry']","{'joy': 0, 'trust': 0, 'fear': 1, 'surprise': 2, 'sadness': 2, 'disgust': 1, 'anger': 2, 'anticipation': 0}",On the walk Rose's dog saw a squirrel.,But he later found out about its high sugar content.,1
26,['none'],"{'joy': 0, 'trust': 0, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 0}",Harry was hungry.,Her mother gave her a shopping the list.,1
27,"['frustrated', 'annoyed', 'disgruntled']","{'joy': 1, 'trust': 0, 'fear': 0, 'surprise': 0, 'sadness': 1, 'disgust': 1, 'anger': 2, 'anticipation': 0}",I tried everything.,He decides to visit the country of India next.,0
28,"['none', 'Happy', 'Content', 'Inspired', 'happy', 'accomplished']","{'joy': 2, 'trust': 1, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 0}",Then on Christmas morning we had to find it.,Now she paints pictures to share with the people she loves.,1
29,"['none', 'anticipation', 'excited']","{'joy': 0, 'trust': 0, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 2}",He takes out a small business loan and finds a open retail space.,Gina was sure they would each get hired.,0
30,"['cautious', 'relaxed', 'lazy']","{'joy': 1, 'trust': 0, 'fear': 0, 'surprise': 1, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 0}",He plopped down roughly on his couch making it rock.,He started getting nervous toward the end.,0
31,"['relieved', 'pleasantly surprised', 'grateful']","{'joy': 2, 'trust': 1, 'fear': 0, 'surprise': 2, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 0}",He found the movie on an online service.,I was so angry that I told her never to call me again.,0
32,"['none', 'confuse', 'shocked', 'fun']","{'joy': 0, 'trust': 0, 'fear': 0, 'surprise': 2, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 0}","Until on one hand, when they all revealed royal flushes.",Right after going through that process he found his wallet.,0
33,"['angry', 'satisfied', 'none']","{'joy': 0, 'trust': 0, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 1}",We got bit so much we had to go home early.,The waitress was embarrassed and fixed the problem.,1
