,emotion,plutchik,selection0,selection1,label
0,"['none', 'embarrassed', 'ashamed', 'spiteful', 'hurt', 'annoyed']","['none', 'embarrassed', 'ashamed', 'spiteful', 'hurt', 'annoyed']","Doug stormed off, embarrassed.",Johnny needed a new shirt.,0
1,"['happy', 'excited']","['happy', 'excited']",They knew they should have made reservations.,Today took her blocks out of the toy box.,1
2,"['eating', 'desire', 'needy', 'none']","['eating', 'desire', 'needy', 'none']",He stayed in bed and skipped work.,"One day at the store, a little girl begged her mother for candy.",1
3,['none'],['none'],"Daryl should have been, too.",I consistently denied his calls.,0
4,"['sympathetic', 'helpful', 'joy', 'none', 'thankful', 'happy']","['sympathetic', 'helpful', 'joy', 'none', 'thankful', 'happy']",Today I got to learn my grandmother's secret recipe for cookies.,Her grandson offered to go pick them up for her.,1
5,"['happy', 'excited']","['happy', 'excited']",He met his friend Jose but the sea-saws.,Lebron James played basketball in Cleveland one day.,0
6,"['none', 'grateful', 'helpful']","['none', 'grateful', 'helpful']",I had to put her down.,She had her mother in law mind her two year old.,1
7,"['none', 'irritated that he will not be able to drive the go carts with flip flops', 'sad', 'festive']","['none', 'irritated that he will not be able to drive the go carts with flip flops', 'sad', 'festive']",My son was wearing flip flops.,"At his new house, he unloaded all of the boxes.",0
8,"['happy', 'proud', 'accomplished', 'excited', 'joy']","['happy', 'proud', 'accomplished', 'excited', 'joy']",Finally he managed to corner the fly in his pantry.,He finally took my advice and blew bubbles perfectly.,1
9,"['kind', 'loving', 'thoughtful', 'excited with expectations', 'sad', 'love']","['kind', 'loving', 'thoughtful', 'excited with expectations', 'sad', 'love']",She spilled the coffee all over her skirt.,Jerome wanted to buy a gift for his sick little brother.,1
10,"['relieved', 'accomplished', 'happy', 'happy.', 'satisfied', 'trust']","['relieved', 'accomplished', 'happy', 'happy.', 'satisfied', 'trust']",We were very proud of him.,Then he applied for a job as an assistant photographer.,0
11,"['anticipation', 'EXCITED', 'excited']","['anticipation', 'EXCITED', 'excited']","But soon after, she felt incredibly anxious and stressed.",She hit the golf course that night.,1
12,"['content', 'none', 'like cutting wood was good excersise']","['content', 'none', 'like cutting wood was good excersise']","As a result, Eliza decided to not speak to her.",Sam was cutting wood.,1
13,"['anxious', 'excited', 'optimistic']","['anxious', 'excited', 'optimistic']",They went outside the city areas.,There were several rooms for rent and two apartments.,1
14,"['happy', 'secure', 'prepared', 'none']","['happy', 'secure', 'prepared', 'none']",Now Jerry has multiple fishing poles if it ever happens again.,She found a bottle of ipecac in the medicine cabinet.,0
15,"['pressured', 'uncomfortable', 'none']","['pressured', 'uncomfortable', 'none']",I didn't want to play a song.,"Soon, the ice cream was all over Ben.",0
16,['none'],['none'],"However, she dreams of moving to Hollywood.",Sam was playing in the talent show tonight.,1
17,"['none', 'lazy', 'tired']","['none', 'lazy', 'tired']","Inside, most of the stuff was gone or strewn about.",But he didn't feel like cooking or preparing food.,1
18,"['none', 'carefree', 'content']","['none', 'carefree', 'content']",I said I didn't have any money but I was hungry.,Jake never worried about his phone's battery status.,1
19,['none'],['none'],"When the coyotes started yipping and howling, the dogs ran back.",The mission was a failure.,1
20,"['elated', 'proud', 'none', 'excitement', 'talented']","['elated', 'proud', 'none', 'excitement', 'talented']",He freaked out and cried uncontrollably.,They ended up putting on a wonderful show for their friends.,1
21,['none'],['none'],Joanie's mom enjoyed a tall glass of wine that night!,James was at school.,1
22,"['protective', 'alert', 'sympathetic', 'fearful', 'scared', 'anxious', 'nervous']","['protective', 'alert', 'sympathetic', 'fearful', 'scared', 'anxious', 'nervous']",She was hesitant and afraid.,Finally he decided he might need a new pair of shoes.,0
23,"['uncomfortable', 'very shivering', 'determined']","['uncomfortable', 'very shivering', 'determined']",My friends came over and we played video games.,It was really cold out so I had to wear my wetsuit.,1
24,"['none', 'anger', 'upset', 'sad', 'deceived', 'positive', 'annoyed']","['none', 'anger', 'upset', 'sad', 'deceived', 'positive', 'annoyed']",Lori deleted Ashlynn from Facebook.,He told me I was a strong woman for what I was doing as a mother.,0
25,"['surprised', 'competent', 'proud', 'happy']","['surprised', 'competent', 'proud', 'happy']","I was surprised, but I kissed him back.","And eventually, he lost 20 pounds.",1
26,"['prepared', 'confident.', 'determined', 'none']","['prepared', 'confident.', 'determined', 'none']",I decided to remodel my bathroom this week.,The Smiths were having a family dinner.,0
27,"['worried', 'anger', 'angry', 'upset']","['worried', 'anger', 'angry', 'upset']",He saw an ad for the job and called immediately.,"Due to a computer mix up, there was no record of her reservation.",1
28,"['Displeased', 'annoyed', 'frustrated', 'none']","['Displeased', 'annoyed', 'frustrated', 'none']",Camden doesn't have good luck.,"The beach was very, very crowded.",1
29,"['upset', 'sad', 'embarrassed', 'none']","['upset', 'sad', 'embarrassed', 'none']",Chris had been wanting to change jobs for months.,Now my dog is dead.,1
30,['none'],['none'],"So Ned, although a homebody, asked his mom if he could go too.",The family took a trip to Venice.,1
